CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
3,56993E+12;DROGARIA E PERFUMARIA ERMELINDO & DIAS LTDA;VICOSA;SAO PEDRO;Belo Horizonte;MG;-19,9454938;-43,9389531;VICOSA, SAO PEDRO, Belo Horizonte, MG, Brasil
6,01465E+12;DROGARIA E PERFUMARIA GILEADE LTDA -ME;EUCLASIO;SANTA EFIGENIA;Belo Horizonte;MG;-19,9255872;-43,9106579;EUCLASIO, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
1,2442E+12;DROGARIA E PERFUMARIA GODINHO LTDA ME;LUIZ CASTANHEDE;SANTA CRUZ;Belo Horizonte;MG;-19,8766258;-43,9357162;LUIZ CASTANHEDE, SANTA CRUZ, Belo Horizonte, MG, Brasil
2,01129E+13;DROGARIA E PERFUMARIA GOMES E DUARTE LTDA - ME;EDUARDO CARLOS;ARAGUAIA;Belo Horizonte;MG;-19,9902015;-44,0008435;EDUARDO CARLOS, ARAGUAIA, Belo Horizonte, MG, Brasil
1,58717E+13;DROGARIA E PERFUMARIA GUARARAPES LTDA - ME;RUA GUARARAPES 274;GLORIA;Belo Horizonte;MG;-19,9045284;-44,0125371;RUA GUARARAPES 274, GLORIA, Belo Horizonte, MG, Brasil
1,88581E+13;DROGARIA E PERFUMARIA GUSMAO LTDA - ME;DAS GABIROBAS;VILA CLORIS;Belo Horizonte;MG;-19,8187963;-43,9472067;DAS GABIROBAS, VILA CLORIS, Belo Horizonte, MG, Brasil
8,36354E+12;DROGARIA E PERFUMARIA J & C LTDA;LEONTINO FRANCISCO ALVES, Nº 185, LOJA: 02;SERRA VERDE;Belo Horizonte;MG;-19,7927477;-43,9561941;LEONTINO FRANCISCO ALVES, Nº 185, LOJA: 02, SERRA VERDE, Belo Horizonte, MG, Brasil
4,1908E+13;DROGARIA E PERFUMARIA JESSICA LTDA;BERNARDA SILVESTRE;RIO BRANCO;Belo Horizonte;MG;-19,8159736;-43,982888;BERNARDA SILVESTRE, RIO BRANCO, Belo Horizonte, MG, Brasil
7,62349E+11;DROGARIA E PERFUMARIA JMR LTDA;SAO ROMULO;PAULO VI;Belo Horizonte;MG;-19,8356142;-43,8865091;SAO ROMULO, PAULO VI, Belo Horizonte, MG, Brasil
1,45311E+13;DROGARIA E PERFUMARIA L&F LTDA - ME;JACUI;RENASCENCA;Belo Horizonte;MG;-19,8861513;-43,9358763;JACUI, RENASCENCA, Belo Horizonte, MG, Brasil
